GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
project-report-example,default,BasicCalculator,0,28,0,2,0,9,0,6,0,5
project-report-example,default,CalculatorGUI.new ActionListener() {...},7,0,0,0,2,0,2,0,2,0
project-report-example,default,AdvanceCalculator,0,35,0,0,0,13,0,7,0,7
project-report-example,default,CalculatorGUI.new ActionListener() {...},7,0,0,0,2,0,2,0,2,0
project-report-example,default,CalculatorGUI.new ActionListener() {...},7,0,0,0,2,0,2,0,2,0
project-report-example,default,CalculatorGUI,818,0,8,0,133,0,11,0,7,0
project-report-example,default,CalculatorGUI.new ActionListener() {...},7,0,0,0,2,0,2,0,2,0
project-report-example,default,CalculatorGUI.new ActionListener() {...},7,0,0,0,2,0,2,0,2,0
project-report-example,default,CalculatorGUI.new ActionListener() {...},7,0,0,0,2,0,2,0,2,0
project-report-example,default,CalculatorGUI.new ActionListener() {...},7,0,0,0,2,0,2,0,2,0
project-report-example,default,Main,8,0,0,0,3,0,2,0,2,0
project-report-example,default,CalculatorGUI.new ActionListener() {...},7,0,0,0,2,0,2,0,2,0
project-report-example,default,CalculatorGUI.new ActionListener() {...},7,0,0,0,2,0,2,0,2,0
